timestamp,station_id,temperature_c,pressure_hpa,humidity_pct,wind_speed_ms,wind_direction_deg,irradiance_wm2,cloud_fraction,storm_state,solar_elevation_deg,solar_available_kw,solar_generation_kw,wind_generation_kw,wind_turbine_status,thermal_load_kw,critical_load_kw,important_load_kw,operational_load_kw,flexible_load_kw,maintenance_load_kw,total_load_kw,battery_soc_pct,battery_energy_kwh,battery_charge_kw,battery_discharge_kw,battery_temperature_derating,generator_status,generator_power_kw,fuel_consumed_l,fuel_remaining_l,renewable_generation_kw,total_generation_kw,curtailment_kw,unserved_energy_kw,occupancy_state,maintenance_state,research_activity_state,communication_state,scenario_id,disturbance_state,provenance,dataset_version,simulator_version,seed
2024-01-01T00:00:00+00:00,BHARATI,-4.57,985.2,74.8,9.44,0.2,118.95,0.449,NORMAL,16.78,3.92,3.92,13.64,OPERATING_RAMP,20.28,29.5,17.22,6.16,0.0,0.0,73.16,36.96,44.35,8.4,40.0,1.0,ONLINE,24.0,11.22,114988.8,17.56,41.56,0.0,0.0,0.2,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T01:00:00+00:00,BHARATI,-5.11,984.2,71.2,9.33,353.9,187.87,0.426,NORMAL,21.88,6.16,6.16,13.14,OPERATING_RAMP,20.81,29.5,17.22,6.16,0.0,0.0,73.69,20.0,24.0,0.0,19.52,1.0,ONLINE,34.87,14.26,114974.5,19.3,54.17,0.0,0.0,0.2,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T02:00:00+00:00,BHARATI,-5.04,986.8,74.5,8.71,4.7,271.94,0.396,NORMAL,27.14,8.83,8.83,10.6,OPERATING_RAMP,20.74,31.7,17.22,6.16,0.0,0.0,75.82,20.0,24.0,0.0,0.0,1.0,ONLINE,56.4,20.29,114954.2,19.42,75.82,0.0,0.0,0.2,0.0,1.0,1.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T03:00:00+00:00,BHARATI,-5.01,987.2,75.2,8.88,9.1,334.73,0.444,NORMAL,32.25,10.79,10.79,11.27,OPERATING_RAMP,20.71,29.5,17.22,6.16,0.0,0.0,73.59,20.0,24.0,0.0,0.0,1.0,ONLINE,51.53,18.93,114935.3,22.06,73.59,0.0,0.0,0.2,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T04:00:00+00:00,BHARATI,-4.78,987.3,74.4,9.47,10.0,421.38,0.457,NORMAL,36.84,13.44,13.44,13.77,OPERATING_RAMP,20.49,29.5,17.22,6.16,0.0,0.0,73.37,20.0,24.0,0.0,0.0,1.0,ONLINE,46.16,17.42,114917.9,27.21,73.37,0.0,0.0,0.2,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T05:00:00+00:00,BHARATI,-4.55,984.5,76.2,9.85,10.5,442.0,0.461,NORMAL,40.51,14.05,14.05,15.55,OPERATING_RAMP,20.26,29.5,17.22,6.16,0.0,0.0,73.14,20.0,24.0,0.0,0.0,1.0,ONLINE,43.53,16.69,114901.2,29.61,73.14,0.0,0.0,0.2,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T06:00:00+00:00,BHARATI,-4.77,983.2,77.3,9.35,8.5,459.68,0.475,NORMAL,42.87,14.6,14.6,13.23,OPERATING_RAMP,19.04,29.5,19.42,9.02,0.0,0.0,76.98,20.0,24.0,0.0,0.0,1.0,ONLINE,49.15,18.26,114882.9,27.83,76.98,0.0,0.0,0.85,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T07:00:00+00:00,BHARATI,-4.98,985.3,76.7,9.5,9.6,483.15,0.492,NORMAL,43.6,15.31,15.31,13.89,OPERATING_RAMP,19.25,31.7,19.42,9.02,0.0,0.0,79.39,20.0,24.0,0.0,0.0,1.0,ONLINE,50.19,18.55,114864.4,29.2,79.39,0.0,0.0,0.85,0.0,1.0,1.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T08:00:00+00:00,BHARATI,-4.64,985.7,75.4,8.79,17.5,514.01,0.318,NORMAL,42.59,16.22,16.22,10.9,OPERATING_RAMP,18.69,29.5,19.76,9.46,0.0,0.0,77.41,20.0,24.0,0.0,0.0,1.0,ONLINE,50.29,18.58,114845.8,27.12,77.41,0.0,0.0,0.95,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T09:00:00+00:00,BHARATI,-4.04,986.5,72.9,7.89,20.6,476.44,0.363,NORMAL,40.0,15.06,15.06,7.78,OPERATING_RAMP,18.11,29.5,19.76,9.46,0.0,0.0,76.83,20.0,24.0,0.0,0.0,1.0,ONLINE,53.99,19.62,114826.2,22.84,76.83,0.0,0.0,0.95,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T10:00:00+00:00,BHARATI,-4.18,986.1,74.3,7.75,20.7,364.98,0.502,NORMAL,36.16,11.69,11.69,7.33,OPERATING_RAMP,18.24,29.5,19.76,9.46,0.0,0.0,76.96,20.0,24.0,0.0,0.0,1.0,ONLINE,57.94,20.72,114805.4,19.02,76.96,0.0,0.0,0.95,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T11:00:00+00:00,BHARATI,-3.67,985.8,73.2,8.03,19.3,314.03,0.523,NORMAL,31.46,10.1,10.1,8.2,OPERATING_RAMP,17.74,29.5,19.76,9.46,0.0,0.0,76.46,20.0,24.0,0.0,0.0,1.0,ONLINE,58.16,20.79,114784.7,18.3,76.46,0.0,0.0,0.95,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T12:00:00+00:00,BHARATI,-3.52,986.3,74.7,7.98,24.1,212.67,0.552,NORMAL,26.3,6.91,6.91,8.04,OPERATING_RAMP,17.49,31.7,19.93,9.68,0.0,0.0,78.8,20.0,24.0,0.0,0.0,1.0,ONLINE,63.85,22.38,114762.3,14.95,78.8,0.0,0.0,1.0,0.0,1.0,1.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
2024-01-01T13:00:00+00:00,BHARATI,-3.7,988.2,70.9,8.71,23.0,146.13,0.53,NORMAL,21.05,4.79,4.79,10.6,OPERATING_RAMP,17.67,29.5,19.93,9.68,0.0,0.0,76.78,20.0,24.0,0.0,0.0,1.0,ONLINE,61.39,21.69,114740.6,15.39,76.78,0.0,0.0,1.0,0.0,1.0,0.0,NORMAL,NORMAL,SYNTHETIC,polaris-synthetic-v1.0,polaris-sim-v2.0,142
